Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-23 22:01:59	979	9190	1	62	0	0	140	0	0	68	0	0	74	0	0	86	0	3.157		185.023	568.983	0.153316	0	0.828631	0.0443643	61.5448	2		0.0088623	11.8932	38.2978	0	51.673	4.0281	
2021-04-23 22:11:50	1064	9191	2	98	0	0	134	0	0	122	0	0	126	0	0	120	0	4.071		199.154	504.423	0.0813258	0	0.408356	0.0628115	53.8813	1		0.0088623	11.8932	34.0096	0	51.673	4.02811	
2021-04-23 22:09:29	1043	9192	1	70	0	0	124	0	0	76	0	0	82	0	0	88	0	3.213		189.465	591.688	0.164298	0	0.867172	0.791479	63.1287	1		0.0088623	11.8932	34.3994	0	51.673	4.0281	
2021-04-23 22:01:25	976	9194	1	60	0	0	138	0	0	66	0	0	72	0	0	84	0	3.157		199.18	508.722	0.15819	0	0.794207	0.00620557	58.988	2		0.0088623	12.4161	39.5972	0	51.673	4.02809	
2021-04-23 22:05:41	1009	9195	3	68	0	0	134	0	0	86	0	0	92	0	0	95	0	8.891		199.173	485.981	0.0126273	0	0.0633983	0.173796	23.6194	1		0.0088623	11.9907	35.439	0	51.673	4.0281	
2021-04-23 22:04:23	997	9196	2	60	0	0	126	0	0	72	0	0	78	0	0	84	0	5.919		199.191	372.74	0.0399499	0	0.200561	0.00585613	41.8761	2		0.0088623	11.9375	35.9588	0	51.673	4.0281	
2021-04-23 22:04:09	995	9197	1	68	0	0	140	0	0	98	0	0	104	0	0	102.5	0	13.466		175.68	574.313	0.00265946	0	0.0151381	0.0209228	9.98714	2		0.0088623	11.9552	35.9588	0	51.673	4.0281	
2021-04-23 22:16:43	1111	9198	4	89	0	0	107	0	0	97	0	0	99	0	0	98	0	3.413		199.174	463.814	0.0934393	0	0.469133	0.120761	58.9531	1		0.0088623	11.9287	34.0096	0	51.673	4.0281	
2021-04-23 22:10:11	1050	9200	2	76	0	0	130	0	0	112	0	0	118	0	0	109	0	6.106		199.143	558.659	0.0338631	0	0.170044	0.0304013	33.6552	1		0.0088623	11.8844	34.2695	0	51.673	4.02811	
2021-04-23 22:17:19	1117	9201	4	110	0	0	128	0	0	118	0	0	120	0	0	119	0	3.413		199.192	366.573	0.0879326	0	0.441445	0.231239	55.4737	1		0.0088623	11.973	33.8796	0	51.673	4.02811	
